hour,avg_power_kwh
2022-09-08 21:00:00,380.7125
2022-06-04 23:00:00,104.4
2022-01-04 12:00:00,343.0375
2022-07-03 09:00:00,362.25
2022-01-10 00:00:00,101.0875
2022-09-06 21:00:00,320.98749999999995
2022-04-09 05:00:00,71.925
2022-09-03 09:00:00,402.725
2022-02-12 13:00:00,296.9625
2022-11-11 14:00:00,331.775
2022-09-08 18:00:00,436.475
2022-08-02 21:00:00,551.8125
2022-05-05 21:00:00,313.8
2022-06-08 15:00:00,410.45
2022-12-04 14:00:00,326.875
2022-06-03 05:00:00,104.01249999999999
2022-08-12 11:00:00,661.725
2022-07-07 16:00:00,464.8
2022-06-06 09:00:00,329.5
2022-02-04 23:00:00,158.9875
2022-02-05 04:00:00,62.224999999999994
2022-07-01 21:00:00,401.4
2022-06-06 18:00:00,417.325
2022-11-08 20:00:00,311.6
2022-05-11 08:00:00,225.92499999999998
2022-06-01 16:00:00,453
2022-09-07 14:00:00,426.76250000000005
2022-01-07 12:00:00,314.8
2022-09-10 19:00:00,407.55
2022-12-05 01:00:00,57.975
2022-08-04 17:00:00,729.075
2022-04-03 08:00:00,52.10000000000001
2022-10-04 11:00:00,398.48749999999995
2022-03-02 12:00:00,303.475
2022-10-06 01:00:00,62.4125
2022-02-03 06:00:00,71.1875
2022-03-07 15:00:00,299.475
2022-07-12 06:00:00,132.21249999999998
2022-07-08 15:00:00,803.0625
2022-05-05 02:00:00,98.14999999999999
2022-05-01 05:00:00,93.13749999999999
2022-04-10 03:00:00,94.2125
2022-02-06 06:00:00,51.550000000000004
2022-10-01 16:00:00,361.975
2022-04-11 04:00:00,91.925
2022-04-09 12:00:00,264.1375
2022-11-02 22:00:00,285.625
2022-09-12 18:00:00,445.26250000000005
2022-08-12 00:00:00,176.4625
2022-11-11 09:00:00,323.47499999999997
2022-10-03 05:00:00,58.6125
2022-02-02 15:00:00,376.025
2022-07-10 02:00:00,135.425
2022-06-09 19:00:00,420.65000000000003
2022-05-01 09:00:00,436.82500000000005
2022-04-03 18:00:00,290
2022-03-03 11:00:00,301.4625
2022-12-11 17:00:00,217.63750000000002
2022-11-09 23:00:00,263.1125
2022-10-08 00:00:00,98.425
2022-06-02 16:00:00,453.12499999999994
2022-03-10 20:00:00,273.35
2022-08-12 09:00:00,578.8875
2022-05-12 23:00:00,197.71249999999998
2022-01-09 08:00:00,56.2
2022-05-10 20:00:00,383.26250000000005
2022-08-10 23:00:00,296.6
2022-12-10 20:00:00,293.3125
2022-11-05 02:00:00,113.7625
2022-01-04 23:00:00,181.825
2022-04-09 07:00:00,63.199999999999996
2022-10-02 14:00:00,351.0875
2022-06-07 21:00:00,307.5
2022-04-12 23:00:00,187.78750000000002
2022-04-06 02:00:00,63.55
2022-01-01 19:00:00,313.25
2022-05-12 01:00:00,99.425
2022-08-04 20:00:00,569.5250000000001
2022-12-02 19:00:00,334.59999999999997
2022-10-11 07:00:00,155.97499999999997
2022-05-03 05:00:00,82.2
2022-06-10 20:00:00,534.65
2022-05-06 02:00:00,106.625
2022-09-03 06:00:00,76.725
2022-10-07 06:00:00,105.275
2022-06-05 10:00:00,414.15000000000003
2022-08-03 03:00:00,131.1
2022-01-12 01:00:00,89.225
2022-02-04 10:00:00,300.0875
2022-02-10 00:00:00,90.85
2022-09-08 07:00:00,186.33749999999998
2022-02-06 05:00:00,58.8625
2022-04-02 19:00:00,256.875
2022-10-04 23:00:00,220.53750000000002
2022-09-07 16:00:00,440.6625
2022-07-10 16:00:00,784.175
2022-11-09 04:00:00,111.8625
2022-08-01 05:00:00,135.11249999999998
2022-08-08 18:00:00,784.8875
2022-01-07 10:00:00,306.275
2022-10-12 09:00:00,327.15
2022-05-01 10:00:00,392.975
2022-02-11 17:00:00,339.225
2022-04-09 19:00:00,295.9125
2022-10-04 13:00:00,407.08750000000003
2022-02-05 12:00:00,264.98749999999995
2022-10-06 21:00:00,286.875
2022-05-02 03:00:00,91.825
2022-04-04 13:00:00,295.0375
2022-12-09 12:00:00,299.2
2022-02-11 14:00:00,336.425
2022-03-05 09:00:00,189.8
2022-10-11 17:00:00,394.28749999999997
2022-12-10 18:00:00,318.775
2022-11-09 00:00:00,112.44999999999999
2022-09-03 15:00:00,422.76250000000005
2022-02-10 13:00:00,332.1375
2022-04-03 00:00:00,65.725
2022-06-04 13:00:00,410.67499999999995
2022-04-09 10:00:00,260.025
2022-10-02 16:00:00,370.5375
2022-04-11 11:00:00,306.2875
2022-03-06 21:00:00,205.95000000000002
2022-10-06 02:00:00,60.925
2022-10-06 00:00:00,64.2625
2022-07-03 10:00:00,549.4
2022-09-10 15:00:00,426.025
2022-10-01 08:00:00,217.53750000000002
2022-02-01 06:00:00,75.45
2022-04-02 01:00:00,64.8375
2022-07-08 10:00:00,467.825
2022-04-04 00:00:00,62.45
2022-07-12 12:00:00,816.675
2022-03-03 00:00:00,66.16250000000001
2022-07-06 15:00:00,780.1624999999999
2022-06-12 02:00:00,126.35000000000001
2022-12-06 14:00:00,337.70000000000005
2022-10-09 20:00:00,438.1125
2022-01-03 15:00:00,350.8375
2022-04-02 20:00:00,260.775
2022-04-09 20:00:00,294.88750000000005
2022-03-11 06:00:00,99.28750000000001
2022-04-05 09:00:00,244.32500000000002
2022-12-02 08:00:00,297.775
2022-12-01 05:00:00,56.537499999999994
2022-08-08 09:00:00,581.5
2022-07-11 05:00:00,139.16250000000002
2022-06-03 15:00:00,453.12500000000006
2022-01-07 15:00:00,319.2375
2022-12-02 11:00:00,339.175
2022-12-07 10:00:00,328.86249999999995
2022-06-12 19:00:00,603.125
2022-09-10 00:00:00,124.31249999999999
2022-09-08 01:00:00,87.60000000000001
2022-07-09 21:00:00,501.5625
2022-07-07 13:00:00,469.6875
2022-04-09 14:00:00,265.05
2022-10-09 05:00:00,60.1375
2022-02-11 16:00:00,337.32499999999993
2022-11-05 00:00:00,114.5
2022-08-08 02:00:00,125.075
2022-08-09 11:00:00,749.2625
2022-11-11 22:00:00,297.875
2022-06-11 14:00:00,373.45
2022-01-09 02:00:00,64.67500000000001
2022-08-08 15:00:00,789.4124999999999
2022-10-07 21:00:00,299.59999999999997
2022-05-02 01:00:00,92.3125
2022-10-10 17:00:00,397.63750000000005
2022-10-06 11:00:00,390.1
2022-01-12 05:00:00,85.7125
2022-12-02 14:00:00,341.275
2022-05-07 11:00:00,391.29999999999995
2022-06-10 02:00:00,116.83749999999999
2022-10-02 22:00:00,185.9375
2022-09-11 04:00:00,88.65
2022-02-06 23:00:00,60.3375
2022-06-05 07:00:00,316.0625
2022-08-05 03:00:00,134.3375
2022-07-08 00:00:00,168.2
2022-11-05 07:00:00,105.2375
2022-06-09 17:00:00,426.7625
2022-07-04 06:00:00,118.22500000000001
2022-06-09 21:00:00,381.4625
2022-05-08 02:00:00,102.9375
2022-09-02 06:00:00,139.2875
2022-10-01 10:00:00,320.11249999999995
2022-07-08 18:00:00,806.9875
2022-07-02 13:00:00,460.175
2022-09-07 20:00:00,384.8875
2022-03-11 22:00:00,192.64999999999998
2022-01-01 03:00:00,94.82500000000002
2022-03-05 08:00:00,51.737500000000004
2022-11-01 23:00:00,83.47500000000001
2022-03-04 19:00:00,282.0375
2022-01-09 01:00:00,65.96249999999999
2022-08-05 07:00:00,302.9125
2022-04-05 16:00:00,297.0625
2022-06-06 03:00:00,103.0125
2022-03-11 12:00:00,291.8875
2022-10-10 20:00:00,333.87500000000006
2022-08-11 03:00:00,132.075
2022-04-11 00:00:00,96.6125
2022-08-05 08:00:00,385.22499999999997
2022-06-02 22:00:00,223.08749999999998
2022-06-09 07:00:00,217.83749999999998
2022-11-04 20:00:00,311.13750000000005
2022-02-09 08:00:00,217.05
2022-09-06 07:00:00,194.1375
2022-12-10 23:00:00,107.05
2022-09-07 11:00:00,388.4375
2022-08-09 08:00:00,411.2125
2022-02-05 13:00:00,268.625
2022-08-04 23:00:00,334.52500000000003
2022-10-01 15:00:00,364
2022-07-11 04:00:00,141.7125
2022-11-01 21:00:00,286.9
2022-12-12 15:00:00,326.20000000000005
2022-12-11 13:00:00,212.925
2022-03-06 12:00:00,245.03749999999997
2022-06-06 13:00:00,420.54999999999995
2022-03-04 01:00:00,58.425000000000004
2022-06-02 20:00:00,417.86249999999995
2022-03-04 17:00:00,298.8125
2022-09-07 17:00:00,439.925
2022-03-03 20:00:00,260.525
2022-06-03 12:00:00,451.19999999999993
2022-08-06 06:00:00,161.83749999999998
2022-08-11 02:00:00,132.2125
2022-05-06 13:00:00,436.3125
2022-10-02 00:00:00,60.5
2022-03-09 15:00:00,289.26250000000005
2022-04-03 14:00:00,267.375
2022-02-06 10:00:00,165.925
2022-09-10 03:00:00,91.375
2022-04-09 03:00:00,72.98750000000001
2022-06-04 03:00:00,105.58749999999999
2022-05-07 00:00:00,107.4875
2022-09-06 19:00:00,435.4875
2022-12-07 17:00:00,337.6125
2022-08-07 08:00:00,413.90000000000003
2022-08-12 08:00:00,543.075
2022-12-08 09:00:00,441.04999999999995
2022-04-01 08:00:00,187.88750000000002
2022-02-01 16:00:00,330.625
2022-01-05 11:00:00,317.425
2022-09-07 13:00:00,434.225
2022-10-09 14:00:00,376.6875
2022-12-08 19:00:00,324.04999999999995
2022-01-01 23:00:00,89.88749999999999
