month,renewable_emissions,nonrenewable_emissions,total_emissions
2022-01-01 00:00:00,840581.5220528133,16086895.558762502,16927477.08081531
2022-04-01 00:00:00,706456.8607328128,15292832.503874993,15999289.364607822
2022-08-01 00:00:00,1761487.4357612496,34611447.8031375,36372935.238898754
2022-10-01 00:00:00,849240.4823357293,20485759.228589997,21334999.71092573
2022-02-01 00:00:00,718801.2033343753,16438753.441739999,17157554.645074394
2022-05-01 00:00:00,970152.754223333,22565814.148974977,23535966.90319834
2022-06-01 00:00:00,1050790.373834374,23340136.511407502,24390926.88524187
2022-12-01 00:00:00,799013.4348603124,16381137.027735008,17180150.462595314
2022-07-01 00:00:00,1387715.3808505207,30554724.181232497,31942439.562083013
2022-11-01 00:00:00,747024.2401787495,16647636.602495003,17394660.84267375
2022-09-01 00:00:00,916498.6017151048,23046319.569042496,23962818.170757603
2022-03-01 00:00:00,675896.4374165633,14735608.1453025,15411504.582719063
