Datetime,AHU_N02_FreshAir_Temp_C
2022-01-01 00:01:57,24.1
2022-01-01 00:13:06,24.1
2022-01-01 00:24:15,22.4
2022-01-01 00:35:24,22.4
2022-01-01 00:46:35,22.7
2022-01-01 00:57:44,22.7
2022-01-01 01:08:53,21.9
2022-01-01 01:20:02,22.1
2022-01-01 01:31:13,22.2
2022-01-01 01:42:22,22.3
2022-01-01 01:53:31,21.8
2022-01-01 02:04:40,22.2
2022-01-01 02:15:51,22.2
2022-01-01 02:27:00,22.2
2022-01-01 02:38:09,21.6
2022-01-01 02:49:18,22.1
2022-01-01 03:00:29,21.8
2022-01-01 03:11:38,21.6
2022-01-01 03:22:47,21.9
2022-01-01 03:33:56,21.9
2022-01-01 03:45:07,21.5
2022-01-01 03:56:16,21.5
2022-01-01 04:07:25,21.7
2022-01-01 04:18:34,21.6
2022-01-01 04:29:45,21.6
2022-01-01 04:40:54,21.6
2022-01-01 04:52:03,21.1
2022-01-01 05:03:12,21.5
2022-01-01 05:14:23,21.2
2022-01-01 05:25:32,21.6
2022-01-01 05:36:41,21.2
2022-01-01 05:47:50,21.2
2022-01-01 05:59:01,21.1
2022-01-01 06:10:10,21.1
2022-01-01 06:21:19,20.9
2022-01-01 06:32:28,20.9
2022-01-01 06:43:39,20.9
2022-01-01 06:54:48,20.9
2022-01-01 07:05:57,20.4
2022-01-01 07:17:06,20.4
2022-01-01 07:28:17,20.4
2022-01-01 07:39:26,20.4
2022-01-01 07:50:35,20.2
2022-01-01 08:01:44,20.2
2022-01-01 08:12:55,20.1
2022-01-01 08:24:04,20.1
2022-01-01 08:35:13,20.3
2022-01-01 08:46:22,20.3
2022-01-01 08:57:33,20.4
2022-01-01 09:08:42,20.4
2022-01-01 09:19:51,20.6
2022-01-01 09:31:00,20.5
2022-01-01 09:42:11,20.5
2022-01-01 09:53:20,20.5
2022-01-01 10:04:29,20.8
2022-01-01 10:15:38,20.8
2022-01-01 10:26:49,20.9
2022-01-01 10:37:58,20.9
2022-01-01 10:49:07,21.3
2022-01-01 11:00:16,21.3
2022-01-01 11:11:27,21.4
2022-01-01 11:22:36,21.4
2022-01-01 11:33:45,21.6
2022-01-01 11:44:54,21.6
2022-01-01 11:56:05,21.7
2022-01-01 12:07:14,21.7
2022-01-01 12:18:23,21.9
2022-01-01 12:29:32,21.9
2022-01-01 12:40:43,21.9
2022-01-01 12:51:52,21.9
2022-01-01 13:03:01,22.1
2022-01-01 13:14:10,22.1
2022-01-01 13:25:21,22.1
2022-01-01 13:36:30,22.1
2022-01-01 13:47:39,22.3
2022-01-01 13:58:48,22.3
2022-01-01 14:09:59,22.3
2022-01-01 14:21:08,22.3
2022-01-01 14:32:17,22.5
2022-01-01 14:43:26,22.5
2022-01-01 14:54:37,22.5
2022-01-01 15:05:46,22.5
